Location,BHK,sq_ft,bath,balcony,Price
Electronic City Phase II,2,1056,2,1,39.07
Chikka Tirupathi,4,2600,5,3,120
Uttarahalli,3,1440,2,3,62
Lingadheeranahalli,3,1521,3,1,95
Kothanur,2,1200,2,1,51
Whitefield,2,1170,2,1,38
Old Airport Road,4,2732,4,2,204
Rajaji Nagar,4,3300,4,2,600
Marathahalli,3,1310,3,1,63.25
Gandhi Bazar,6,1020,6,2,370
Whitefield,3,1800,2,2,70
Whitefield,4,2785,5,3,295
7th Phase JP Nagar,2,1000,2,1,38
Gottigere,2,1100,2,2,40
Sarjapur,3,2250,3,2,148
Mysore Road,2,1175,2,2,73.5
Bisuvanahalli,3,1180,3,2,48
Raja Rajeshwari Nagar,3,1540,3,3,60
Ramakrishnappa Layout,3,2770,4,2,290
Manayata Tech Park,2,1100,2,2,48
Kengeri,1,600,1,1,15
Binny Pete,3,1755,3,1,122
Thanisandra,4,2800,5,2,380
Bellandur,3,1767,3,1,103
 Thanisandra,1,510,1,0,25.25
Mangammanapalya,3,1250,3,2,56
Electronic City,2,660,1,1,23.1
Whitefield,3,1610,3,2,81
Ramagondanahalli,2,1151,2,2,48.77
Electronic City,3,1025,2,1,47
Yelahanka,4,2100,4,0,186
Bisuvanahalli,3,1075,2,1,35
Hebbal,3,1760,2,2,123
Raja Rajeshwari Nagar,3,1693,3,3,57.39
Kasturi Nagar,3,1925,3,2,125
Kanakpura Road,2,700,2,1,36
Electronics City Phase 1,2,1070,2,1,45.5
Kundalahalli,3,1724,3,2,125
Chikkalasandra,3,1290,2,2,56.12
Uttarahalli,2,1143,2,2,45
Murugeshpalya,2,1296,2,2,81
Sarjapur  Road,3,1254,3,2,38
Ganga Nagar,1,600,1,0,38
Yelahanka,1,660,1,0,48
Kanakpura Road,2,1330.74,2,2,91.79
HSR Layout,8,600,9,2,200
Doddathoguru,2,970,2,0,33
Whitefield,2,1459,2,1,94.82
KR Puram,2,800,1,1,130
Himagiri Meadows,2,869,2,1,36
Adarsh Nagar,2,1270,2,1,50
Bhoganhalli,3,1670,3,1,99
Whitefield,3,2010,3,2,91
Lakshminarayana Pura,2,1185,2,2,75
Yelahanka,3,1600,2,3,75
Begur Road,2,1200,2,2,44
Devanahalli,4,3010,2,2,192
